"FR", "exsuder", "évaporation"
"EN", "quagmire", "bourbier"
"EN", "cogent", "convaincant / preuve"
"EN", "(to) Impede", "to retard in movement or progress by means of obstacles or hindrances;"
"EN", "creep", "grimper / ramper / se glisser"
"EN", "schlepping", "(familier) se trimballer"
"EN", "pernicious", "pernicieux / malveillant"
"EN", "kick in the teeth", "expression - coup bas."
"EN", "at odds", "expression - en desaccord"
"EN", "wisdom", "sagesse / bon sens"
"EN", "mind you", "expression - bien entendu"
"FR", "canonique", "conforme a une regle"
"EN", "to despise", "mépriser"
"EN", "stewardship", "intendance administration"
"EN", "foster", "promouvoir encourager"
"EN", "compelling", "irrefutable"
"EN", "wart", "verrue"
"EN", "wreck", "accident / vieille voiture / tacot"
"EN", "confound", "perturber"
"EN", "convoluted (twisted)", "tordu"
"EN", "harness", "maitriser exploiter"
"EN", "groat", "gruaut"
"EN", "barley", "orge"
"EN", "leek", "poireau"
"EN", "veneer", "vernis / apparence"
"EN", "mince", "haché"
"EN", "vernacular", "jargon"
"EN", "albeit", "bien que"
"EN", "stride", "pas"
"EN", "strife", "querelle"
"EN", "wager", "(un) pari"
"EN", "curtailed", "ecourter"
"EN", "whack", "donner un grand coup a / donner une claque a"
"EN", "stymied", "contrecarrer / faire obstable a"
"EN", "lampoon", "ridiculiser"
"EN", "phase out", "expression - mettre un terme"
"EN", "glimmer", "faible lueur"
"PL", "kobieta", "femme"
"EN", "halve", "reduire de moitie"
"EN", "eavesdropping", "ecouter aux portes"
"EN", "brink", "(figuré) bord"
"EN", "dwindle", "diminuer/baisser"
"EN", "incentive", "motivation"
